id,full_name,phone_number,city
1,Roy Clark,63-(869)318-7773,Barra
2,Christopher Banks,82-(499)705-0296,Nonsan
3,Jean Richardson,351-(187)631-6728,Casais Brancos
4,Irene Mendoza,52-(544)584-2730,18 de Marzo
5,Margaret Carroll,86-(800)328-9580,Pozhang
6,Clarence Dunn,46-(639)894-1792,Kista
7,Victor Cook,81-(982)986-3110,Nakama
8,Patrick Stewart,1-(902)316-7711,Lacolle
9,Richard Ramirez,380-(395)328-8436,Zhuravka
10,Cheryl Fowler,86-(510)862-0025,Zengguang
11,Carol Webb,230-(380)743-5297,Albion
12,Janice Boyd,256-(668)482-4476,Napak
13,Jennifer Sims,1-(910)879-9412,Liberta
14,Randy Hunter,86-(694)181-7012,Dagkar
15,Samuel Robertson,242-(998)785-3513,Bongandanga
16,Bonnie Adams,54-(568)416-0730,Las Varillas
17,Diana Sullivan,86-(512)937-2058,Mayanhe
18,Lori Bailey,48-(285)438-7914,Kańczuga
19,Sean White,55-(705)562-9365,Poá
20,Emily Griffin,1-(896)753-1491,Blainville
